case,time_s,probe,x,y,u,v,speed
three,57.45000000,Q3,8.0,-1.0,1.326763994,0.2881893516,1.357702396
three,57.45000000,Q4,10.0,0.5,0.8416985489,-0.3617338865,0.9161374634
three,57.45000000,Q5,12.0,-0.5,0.9912582191,0.3189361527,1.041303571
three,57.45000000,Q6,14.0,0.0,0.8128294807,-0.09589776145,0.8184669482
three,57.50000000,Q1,4.0,0.0,-0.0896617557,-0.124071237,0.1530780921
three,57.50000000,Q2,6.0,1.0,1.111465671,-0.3839128793,1.175901798
three,57.50000000,Q3,8.0,-1.0,1.331591235,0.284505686,1.361645587
three,57.50000000,Q4,10.0,0.5,0.8481906581,-0.3467187169,0.91631941
three,57.50000000,Q5,12.0,-0.5,0.989505718,0.3059494414,1.035725169
three,57.50000000,Q6,14.0,0.0,0.8092597996,-0.06927519525,0.8122194752
three,57.55000000,Q1,4.0,0.0,-0.0979736907,-0.1632877599,0.1904251469
three,57.55000000,Q2,6.0,1.0,1.138188923,-0.3718062059,1.197377919
three,57.55000000,Q3,8.0,-1.0,1.334933113,0.2799190154,1.363965202
three,57.55000000,Q4,10.0,0.5,0.8536318078,-0.3305688937,0.9154032209
three,57.55000000,Q5,12.0,-0.5,0.9871364684,0.291756774,1.029349514
three,57.55000000,Q6,14.0,0.0,0.8056051777,-0.04174506991,0.8066860313
three,57.60000000,Q1,4.0,0.0,-0.1071027155,-0.2021327318,0.2287545255
three,57.60000000,Q2,6.0,1.0,1.165170775,-0.3564843514,1.218484316
